noise_level,noise_percent,replicate,seed,method,success,failure_reason,fitted_vmax,fitted_km,vmax_absolute_error,km_absolute_error,vmax_relative_error,km_relative_error,r2
0.03,3.0,3,12051,lineweaver_burk,True,,101.80223093957011,5.105109127620971,1.8022309395701086,0.10510912762097124,0.018022309395701087,0.021021825524194248,0.9964947668805619
0.03,3.0,4,12052,nonlinear,True,,100.72692068849966,5.231108749712005,0.7269206884996606,0.23110874971200523,0.007269206884996607,0.046221749942401046,0.998471963970539
0.03,3.0,4,12052,lineweaver_burk,True,,97.68020177773127,4.848342244032297,2.31979822226873,0.1516577559677028,0.0231979822226873,0.030331551193540564,0.9972521705421034
0.03,3.0,5,12053,nonlinear,True,,100.55991019877378,5.1897397048870415,0.5599101987737782,0.1897397048870415,0.005599101987737783,0.0379479409774083,0.9956549741250638
0.03,3.0,5,12053,lineweaver_burk,True,,98.62215743782806,4.862178346199903,1.377842562171935,0.13782165380009737,0.01377842562171935,0.027564330760019472,0.9951042521468494
0.03,3.0,6,12054,nonlinear,True,,97.15242042415133,4.787395072214698,2.8475795758486697,0.2126049277853017,0.0284757957584867,0.04252098555706034,0.9977600593380335
0.03,3.0,6,12054,lineweaver_burk,True,,98.59741346590944,4.941543568324051,1.4025865340905597,0.05845643167594883,0.014025865340905597,0.011691286335189765,0.9974353928037598
0.03,3.0,7,12055,nonlinear,True,,100.54768175399218,5.0074748342207105,0.5476817539921797,0.007474834220710491,0.005476817539921797,0.0014949668441420982,0.9977648491050678
0.03,3.0,7,12055,lineweaver_burk,True,,97.0205083317145,4.724366377786051,2.9794916682855046,0.2756336222139488,0.029794916682855044,0.055126724442789765,0.9955785885047312
0.03,3.0,8,12056,nonlinear,True,,103.16537421233632,5.313283181421061,3.1653742123363173,0.3132831814210606,0.03165374212336317,0.06265663628421211,0.9985309398146028
0.03,3.0,8,12056,lineweaver_burk,True,,101.04684742076742,5.020897848525101,1.0468474207674205,0.02089784852510057,0.010468474207674206,0.0041795697050201145,0.9979859000485932
0.03,3.0,9,12057,nonlinear,True,,101.04492083920731,5.271743268942857,1.0449208392073075,0.27174326894285716,0.010449208392073075,0.054348653788571434,0.9945849983121938
0.03,3.0,9,12057,lineweaver_burk,True,,98.76755569846542,4.969880943768935,1.232444301534585,0.030119056231065144,0.012324443015345849,0.006023811246213029,0.993924303810973
0.03,3.0,10,12058,nonlinear,True,,104.3866494761988,5.346307872245257,4.386649476198798,0.34630787224525683,0.04386649476198798,0.06926157444905137,0.9992718853410346
0.03,3.0,10,12058,lineweaver_burk,True,,105.2591237002993,5.396429816282235,5.259123700299298,0.39642981628223506,0.05259123700299298,0.07928596325644702,0.9991233135390288
0.03,3.0,11,12059,nonlinear,True,,100.72278963820189,5.203163910788666,0.7227896382018884,0.2031639107886658,0.007227896382018884,0.04063278215773316,0.997276595121281
0.03,3.0,11,12059,lineweaver_burk,True,,101.17517521173032,5.1062725241197535,1.1751752117303198,0.10627252411975352,0.011751752117303197,0.021254504823950703,0.9968731070658892
0.03,3.0,12,12060,nonlinear,True,,98.89911370831108,4.857698217819792,1.1008862916889228,0.1423017821802084,0.011008862916889229,0.028460356436041678,0.9946363799679976
0.03,3.0,12,12060,lineweaver_burk,True,,96.40771783994154,4.70676837328381,3.59228216005846,0.29323162671618963,0.0359228216005846,0.05864632534323792,0.99326199265085
0.03,3.0,13,12061,nonlinear,True,,102.4247666439327,5.463027256215046,2.424766643932699,0.4630272562150459,0.024247666439326993,0.09260545124300919,0.9985883774236081
0.03,3.0,13,12061,lineweaver_burk,True,,101.74303236382629,5.276331368255929,1.7430323638262877,0.27633136825592874,0.017430323638262878,0.05526627365118575,0.9984166369384863
0.03,3.0,14,12062,nonlinear,True,,101.00246602522024,5.021577161682673,1.0024660252202438,0.021577161682673207,0.010024660252202437,0.004315432336534641,0.9980520158890219
